id;id_qa_bank;title;contents;git_url;category
1;695d2ad4-3c37-465d-b8e2-c92b57234d64;Singapore Dollar Tasty Cotton Mouse;analyzing Fresh Steel;generating RSS;SECURITY
2;19bfc1b2-61f3-4660-aa32-6a59d6cb0571;Representative scale Marketing;withdrawal;Savings Account composite;SECURITY
3;2c2b3a67-b3ee-45e2-ab9d-2bc8f9bcdabd;haptic;Chair olive Kiribati;backing up Auto Loan Account Licensed Cotton Computer;SECURITY
4;90640d77-a52e-4b47-93e1-c9e98c31f3a3;Fantastic Fresh Keyboard;budgetary management multi-byte;well-modulated EXE Steel;SERVICE
5;d0d952e5-925d-47d0-9be9-79e042fd44d7;synergistic;Identity;aggregate Coordinator;SECURITY
6;9bda7ea8-1c72-4af0-89fd-c1232427cc09;Rubber;archive Sports;alliance invoice auxiliary;CONTROLLER
7;c3e52adf-d976-433b-b62a-cbe247eace0f;TCP;Fantastic capacitor;withdrawal;SECURITY
8;e32117a2-2691-4f3f-aea0-1d7b4f5a6bb3;indexing Granite;methodologies;B2B Mauritius content;SERVICE
9;07c9daa9-429b-4320-88e8-b783d2b04e02;bypassing exuding protocol;Cambridgeshire;Concrete invoice Officer;SERVICE
10;ca93aa47-c214-4cf0-9d8e-984035ebc14f;Handmade expedite;Indonesia robust Global;Qatar Group Small;CONTROLLER
